%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1670366102146925531,303,1670366102146358198,,-0.5591076209466418,0.0,0.0,0.0,0.0,0.0
1670366102194974920,304,1670366102194366216,,-0.557612626266601,-0.025807931265018003,0.0,0.0,0.0,-0.12951768022767451
1670366102226937975,305,1670366102226353975,,-0.5731668516752161,-0.06585363477772557,0.0,0.0,0.0,-0.33086995435151284
1670366102274937309,306,1670366102274344623,,-0.573290217716949,-0.06452539045042961,0.0,0.0,0.0,-0.3246969814976566
1670366102322923438,307,1670366102322337734,,-0.4385841114009905,-0.04758512958930472,0.0,0.0,0.0,-0.2400037065275806
1670366102354875901,308,1670366102354323772,,-0.5496108505280476,-0.0605050840527568,0.0,0.0,0.0,-0.30576125033366286
1670366102403006679,309,1670366102402376586,,-0.5614290160152824,-0.062098415183324714,0.0,0.0,0.0,-0.314261244444773
1670366102434789031,310,1670366102434213512,,-0.22812438387805115,-0.024698773782150595,0.0,0.0,0.0,-0.12515899326487254
1670366102450663994,311,1670366102450165475,,0.0,0.0,0.0,0.0,0.0,0.0
1670366102482731123,312,1670366102482225457,,-0.6561398173701513,-0.07395633826825478,0.0,0.0,0.0,-0.37531568987247726
1670366102530886438,313,1670366102530293549,,-0.8661167508598185,-0.09779538747507367,0.0,0.0,0.0,-0.49672756246839006
1670366102562928160,314,1670366102562332271,,-0.5340036925392475,-0.05854738343959254,0.0,0.0,0.0,-0.2986665288744138
1670366102610917308,315,1670366102610295623,,-0.5344422704918854,-0.05707438260630683,0.0,0.0,0.0,-0.29170205822194956
1670366102642806753,316,1670366102642219105,,-0.21041551144230525,-0.02236604837353319,0.0,0.0,0.0,-0.11444740194344856
1670366102658724975,317,1670366102658171494,,0.0,0.0,0.0,0.0,0.0,0.0
1670366102690808753,318,1670366102690269290,,-0.6305237347853091,-0.05187251605499015,0.0,0.0,0.0,-0.26753079157863574
1670366102738823512,319,1670366102738261012,,-0.8356460790396643,-0.06375340612495707,0.0,0.0,0.0,-0.32980844601880743
1670366102770821549,320,1670366102770261142,,-0.5129685821584805,-0.025324014822648976,0.0,0.0,0.0,-0.13388528858596116
1670366102818887345,321,1670366102818303179,,-0.513160384229156,-0.020436921457510995,0.0,0.0,0.0,-0.10955171277452583
1670366102866842253,322,1670366102866255901,,-0.41070092563931604,-0.013030946484875433,0.0,0.0,0.0,-0.07115373512556568
1670366102898760327,323,1670366102898225790,,-0.5136374708381164,-0.012998945797381267,0.0,0.0,0.0,-0.07260420465057614
1670366102946791938,324,1670366102946235845,,-0.5075939803133299,-0.010598669912382366,0.0,0.0,0.0,-0.06057234170903987
1670366102978768308,325,1670366102978226864,,-0.5075306667771663,-0.008113771601119417,0.0,0.0,0.0,-0.048223825423569136
1670366103026633438,326,1670366103026152901,,-0.5077267295934359,-0.006757256311345357,0.0,0.0,0.0,-0.04148479165036958
1670366103074807012,327,1670366103074223845,,-0.40482192377330617,-0.004180519435358923,0.0,0.0,0.0,-0.027080589705639722
1670366103106759475,328,1670366103106197364,,-0.5045341497481445,-0.004204745312738977,0.0,0.0,0.0,-0.028766810214746308
1670366103154757475,329,1670366103154195586,,-0.5107328381956091,-0.0036699112373181097,0.0,0.0,0.0,-0.026218119299213777
1670366103186754493,330,1670366103186178123,,-0.5197722715308616,-0.002972134979411231,0.0,0.0,0.0,-0.022908053856253188
1670366103234849123,331,1670366103234223641,,-0.5257219936554394,-0.0025368360780425934,0.0,0.0,0.0,-0.020848749435849134
1670366103282786289,332,1670366103282196678,,-0.4349801250861006,-0.0016574161083767179,0.0,0.0,0.0,-0.015067249852564663
1670366103314718549,333,1670366103314169289,,-0.544019349764661,-0.0019152675102863965,0.0,0.0,0.0,-0.018090890611596327
1670366103362854252,334,1670366103362206678,,-0.5438614286886938,-0.005911595828134847,0.0,0.0,0.0,-0.03817031444430846
1670366103394746493,335,1670366103394181086,,-0.5525228754393402,-0.019607071021026566,0.0,0.0,0.0,-0.10713338392542004
1670366103442700771,336,1670366103442159475,,-0.5583540151708865,-0.02862240089567138,0.0,0.0,0.0,-0.15261911383401783
1670366103490701141,337,1670366103490129049,,-0.44626385318581707,-0.030257985273243075,0.0,0.0,0.0,-0.15928109303755944
1670366103522694919,338,1670366103522135067,,-0.5482018841513707,-0.04346411325544125,0.0,0.0,0.0,-0.2276575479969581
1670366103570690993,339,1670366103570112623,,-0.5358503351129382,-0.04586873214386779,0.0,0.0,0.0,-0.2398354724825873
1670366103602543160,340,1670366103602011974,,-0.21068994314528508,-0.018923557714095516,0.0,0.0,0.0,-0.09886044851692372
